DATA_INGRESSO_ORGAO,count
26/01/2017,61
23/01/2019,60
21/01/2015,60
31/12/2009,58
17/02/2010,54
12/12/1985,52
23/04/2018,49
18/10/2016,48
18/11/1985,48
17/04/2019,46
07/11/2014,45
17/08/2023,45
22/07/2014,44
17/11/2016,44
19/01/2009,41
29/12/1994,39
17/07/2014,38
22/11/2019,37
29/07/2010,37
29/09/2023,36
22/06/2018,36
11/09/2008,36
30/01/1995,35
11/07/2022,34
19/01/2018,33
03/07/2003,33
13/04/2010,32
15/07/2002,32
11/01/1988,31
07/07/2016,30
21/03/2017,30
09/11/2023,29
16/05/2013,29
04/07/2003,28
08/08/2013,27
06/01/2016,27
08/09/2022,27
18/07/2011,26
25/07/1994,26
29/07/2011,26
01/01/1988,25
23/08/2011,25
19/08/2022,25
08/01/2004,25
31/07/2013,25
10/11/2020,24
31/08/2012,24
18/11/2015,24
26/02/2018,24
15/02/2007,24
23/06/2017,24
02/06/2014,23
20/06/2023,22
09/09/2011,22
25/05/2012,22
01/03/2023,22
09/10/2019,22
12/08/2013,22
01/09/2010,22
21/02/2024,22
05/10/2015,22
11/04/2013,22
08/02/2007,21
24/01/1995,21
16/12/2013,21
05/09/2019,20
15/09/2010,20
12/02/2010,20
22/04/2015,20
23/07/2010,19
04/03/2010,19
28/12/2022,19
27/02/2014,19
27/07/2018,19
22/04/2004,19
20/12/2019,19
29/01/2018,18
27/12/2010,18
18/02/2011,18
02/06/2015,18
28/05/2019,18
31/07/2008,17
01/11/2022,17
17/12/2020,17
11/07/2013,17
12/05/2014,17
27/12/2013,17
15/07/2015,17
03/04/2018,17
17/06/2014,16
27/07/2010,16
15/06/2009,16
06/01/2011,16
08/06/1985,16
23/04/2004,16
19/07/2010,16
10/10/2012,16
20/01/2006,16
19/04/2012,16
19/02/2019,15
08/07/2013,15
22/07/2013,15
02/10/1980,15
08/04/2024,15
01/07/2022,15
20/07/1987,15
11/09/2014,15
13/06/1995,14
27/08/2014,14
31/07/2017,14
17/07/2013,14
22/12/2010,14
19/09/2012,14
18/09/2014,14
24/03/2015,14
08/06/2012,14
12/01/1981,14
26/02/2015,14
13/09/2019,14
30/05/2018,13
19/10/2015,13
19/01/2023,13
03/05/2012,13
14/08/2013,13
12/05/2017,13
24/04/2013,13
15/04/2014,13
18/01/2016,12
20/06/2014,12
30/07/2010,12
01/04/2015,12
12/03/2015,12
28/12/2023,12
04/09/2012,12
21/10/2015,12
12/12/1994,12
06/01/2000,12
24/02/2015,12
28/12/2005,12
23/11/2022,11
12/01/2012,11
21/07/2010,11
30/12/2009,11
22/01/2024,11
23/05/2014,11
26/08/2013,11
02/02/1998,11
11/07/2002,11
23/01/1995,11
01/08/2014,11
14/03/2024,11
16/05/2005,11
26/03/2013,11
19/07/2004,11
24/01/2024,11
14/06/2013,10
22/03/2012,10
02/09/2010,10
03/04/2014,10
08/03/2016,10
04/03/2022,10
26/11/2009,10
12/11/2010,10
05/05/2010,10
12/03/2018,10
06/09/2017,10
29/04/2014,10
29/10/2012,9
15/01/2004,9
01/09/2008,9
28/05/2014,9
24/11/2015,9
07/11/2008,9
13/04/2012,9
06/12/2005,9
08/02/2017,9
15/12/1995,9
06/03/2018,8
10/03/1999,8
12/01/2011,8
18/10/2017,8
21/05/2021,8
21/12/1994,8
18/07/2016,8
19/03/2012,8
25/01/2012,8
10/11/2015,8
03/02/2014,8
05/03/2014,8
10/09/2021,8
06/08/2010,8
22/08/2006,7
04/10/2018,7
21/06/2013,7
22/02/2017,7
14/02/2006,7
07/03/2013,7
14/10/2011,7
01/03/2024,7
30/12/1985,7
11/09/2002,7
19/11/2012,7
25/03/2024,7
08/10/2010,7
30/12/2019,7
14/12/2020,7
18/10/2011,7
11/05/2018,7
14/01/2013,7
26/02/2024,7
11/11/2011,7
02/07/2014,7
11/03/2016,7
16/08/1993,7
30/03/1999,7
03/05/2016,7
12/07/2013,7
16/06/2021,7
01/08/2023,6
27/11/2018,6
16/01/1995,6
02/09/1994,6
16/08/2021,6
18/08/2008,6
06/07/2004,6
20/10/2023,6
16/05/1996,6
18/03/2019,6
26/05/2010,6
06/02/1998,6
22/03/2004,6
29/09/2015,6
31/05/2004,6
04/05/2015,6
04/03/2016,6
26/07/2011,6
28/09/2018,6
11/03/2024,6
24/05/2011,6
03/04/2024,6
26/09/2012,6
05/04/2012,6
17/06/2016,6
10/04/2023,6
29/10/2004,6
30/04/2012,6
25/10/2017,6
10/02/2014,6
15/08/2022,6
24/04/2017,6
20/09/2010,6
10/05/2024,6
22/05/2013,6
06/03/2023,6
20/06/1995,6
14/04/2014,5
08/09/2010,5
03/01/2017,5
27/02/2023,5
02/06/2004,5
19/02/2013,5
01/08/2016,5
11/12/2017,5
01/03/1995,5
01/03/1985,5
06/03/2024,5
27/04/2015,5
21/08/2013,5
28/10/2021,5
23/06/2022,5
29/04/1985,5
18/03/2016,5
09/01/1995,5
28/09/2021,5
30/09/1993,5
25/04/1997,5
08/06/2021,5
25/09/2013,5
18/09/2023,5
27/02/1996,5
16/03/2023,5
12/02/2016,5
07/03/2024,5
27/01/2017,5
22/05/2006,5
15/04/2016,5
30/03/2012,5
23/01/2014,5
30/03/2015,5
18/09/2017,5
26/07/2023,5
17/06/2010,5
19/03/2015,5
12/08/2010,5
16/05/2002,5
06/01/2020,5
04/09/2015,5
20/03/2024,5
10/07/2006,5
06/10/2014,5
13/06/2019,5
31/05/2013,5
07/05/2010,5
28/03/2012,5
24/07/2019,5
12/03/1984,5
05/01/1994,5
19/01/1995,5
23/03/1987,5
26/05/2011,4
27/08/2018,4
27/02/2024,4
19/04/1985,4
06/05/2014,4
22/12/2009,4
15/09/2015,4
01/10/2010,4
03/07/2023,4
27/06/1985,4
18/10/2019,4
26/07/2010,4
22/02/2019,4
31/12/2020,4
13/07/2021,4
06/08/2009,4
11/05/2022,4
16/10/1997,4
05/04/2010,4
23/04/1985,4
18/05/2016,4
09/11/2012,4
12/07/2023,4
24/03/2009,4
17/06/2011,4
04/02/1994,4
01/02/1994,4
28/01/1997,4
21/03/2012,4
27/07/2015,4
11/08/1993,4
09/04/2010,4
03/09/2012,4
05/05/2014,4
27/02/1980,4
05/04/1994,4
01/02/2024,4
07/02/2012,4
30/06/2010,4
26/03/2014,4
24/08/2023,4
28/02/2023,4
02/05/2019,4
03/06/2014,4
04/07/2004,4
28/06/2012,4
04/04/2014,4
03/11/2015,4
08/01/2018,4
20/10/1995,4
02/10/2023,4
12/05/1980,4
23/01/2018,4
30/09/1983,4
24/09/2010,4
18/12/2012,4
31/01/2018,4
09/08/2004,4
23/08/1993,4
13/02/1996,4
25/06/2015,4
20/03/2008,4
03/07/2006,4
18/01/2013,4
01/09/2015,4
08/11/2017,4
19/03/2024,4
25/03/1998,4
16/08/2013,4
21/02/2005,4
15/04/1980,4
23/01/1998,4
27/10/2011,4
24/04/2018,3
29/05/1998,3
08/02/2001,3
21/11/2008,3
23/01/1996,3
26/01/2018,3
07/08/2023,3
22/03/1996,3
02/12/2015,3
10/11/2021,3
23/11/2011,3
19/05/2011,3
25/05/2010,3
30/01/2012,3
04/01/1995,3
03/04/2019,3
31/01/1995,3
07/04/2016,3
21/07/2011,3
03/01/1994,3
31/01/1992,3
31/01/2014,3
27/07/2011,3
01/03/1982,3
13/03/2024,3
14/08/1996,3
19/07/2013,3
22/05/1997,3
11/04/2024,3
10/03/2016,3
26/06/1985,3
28/06/1985,3
04/07/2022,3
02/08/2010,3
03/01/1995,3
20/04/2012,3
02/01/1995,3
28/12/1993,3
22/09/2015,3
06/04/2005,3
10/01/2020,3
27/03/2017,3
27/08/2009,3
28/03/2013,3
05/03/2024,3
25/09/2017,3
24/07/2013,3
12/04/2024,3
18/10/1982,3
20/02/2006,3
02/08/1993,3
23/08/2002,3
01/03/1980,3
14/07/2017,3
03/01/1990,3
05/08/2008,3
02/08/2011,3
28/03/2019,3
22/02/2013,3
16/12/2019,3
13/06/2013,3
06/01/1994,3
10/04/1987,3
22/11/2017,3
16/06/2010,3
27/03/2007,3
27/03/2024,3
28/03/2024,3
06/03/1995,3
06/02/2024,3
08/07/2015,3
12/02/2014,3
02/03/2023,3
13/08/2019,3
26/12/2005,3
09/11/2010,3
14/09/1993,3
01/09/2023,3
04/03/1985,3
05/02/2024,3
22/06/2017,3
11/03/2011,3
23/11/2020,3
05/01/2012,3
17/02/2011,3
01/03/1979,3
06/06/2017,3
30/03/2006,3
16/02/2016,3
14/08/1978,3
01/01/2023,3
18/05/2023,3
13/07/1983,3
18/03/2024,3
21/06/2016,3
10/04/2015,3
27/03/2009,3
12/01/2006,3
08/08/2017,3
16/02/2005,3
13/09/2023,3
24/03/1995,3
30/11/1994,3
05/10/1993,3
04/02/1985,3
15/08/2023,3
29/11/2005,3
30/03/2010,3
28/02/2012,3
03/04/2023,3
25/05/2021,3
15/04/2010,3
01/09/2021,3
23/02/2018,3
25/04/2013,3
04/07/2023,3
07/06/2022,3
28/02/2008,3
25/04/2017,3
07/03/2023,3
01/09/1993,3
28/04/2016,3
29/09/2011,3
18/03/2011,3
16/07/1998,3
12/03/2024,3
30/04/2024,3
26/08/1993,3
10/06/1996,3
12/07/2002,2
19/10/2017,2
13/07/2022,2
27/09/2018,2
12/09/2012,2
25/10/2013,2
07/10/2010,2
07/10/2002,2
10/06/2019,2
28/07/2016,2
18/02/1993,2
29/02/2024,2
17/12/2007,2
10/11/1982,2
24/02/2014,2
12/06/1987,2
13/01/1995,2
17/09/2013,2
13/05/2021,2
08/05/2024,2
03/05/2023,2
19/03/1981,2
12/05/2003,2
21/02/2019,2
01/06/2006,2
09/03/2023,2
28/04/1998,2
19/05/2010,2
25/02/1998,2
10/11/2009,2
16/07/1996,2
28/12/1994,2
16/05/2003,2
09/06/2005,2
07/05/2024,2
26/07/2022,2
12/05/2023,2
15/07/2009,2
10/06/2011,2
16/06/2015,2
07/04/2017,2
06/07/1987,2
22/04/1994,2
13/07/2017,2
08/11/2000,2
31/10/2016,2
04/03/1992,2
13/12/1989,2
01/07/1976,2
11/05/2017,2
27/09/1994,2
31/01/2009,2
06/05/2016,2
29/12/2020,2
20/07/2021,2
21/08/2012,2
20/11/2023,2
02/03/2012,2
20/01/2005,2
22/06/2004,2
27/06/2022,2
03/06/2002,2
18/02/2013,2
13/01/1987,2
21/03/1983,2
06/04/1982,2
25/11/2021,2
22/06/1994,2
14/01/1992,2
18/08/1977,2
18/05/2018,2
15/08/2013,2
03/09/2004,2
22/11/1985,2
03/06/2016,2
19/05/1998,2
06/09/1991,2
29/08/2013,2
14/05/2024,2
23/03/2022,2
04/10/2013,2
17/01/2006,2
26/01/2009,2
11/04/1980,2
28/11/1995,2
19/02/2010,2
31/01/1994,2
30/05/2019,2
02/07/2015,2
12/04/2016,2
07/10/1997,2
28/09/1982,2
06/04/2018,2
20/10/2015,2
12/08/2003,2
25/05/2016,2
01/08/2002,2
02/06/2017,2
17/06/1985,2
26/08/1996,2
24/09/2019,2
12/12/2011,2
18/11/1982,2
24/05/2021,2
20/12/2017,2
10/03/2023,2
09/09/1994,2
21/02/2022,2
25/11/1997,2
13/05/2010,2
18/01/1995,2
03/11/1993,2
24/11/2005,2
08/11/1994,2
27/03/2019,2
29/06/1998,2
28/06/1995,2
07/01/2022,2
20/02/2024,2
26/05/2017,2
08/01/2013,2
28/10/2010,2
22/06/2023,2
27/03/1985,2
03/11/2021,2
06/03/1996,2
23/03/2023,2
15/03/2011,2
05/04/2017,2
15/03/2023,2
27/06/2017,2
22/04/2010,2
06/10/1997,2
11/12/1990,2
09/03/1999,2
27/05/1985,2
02/04/1982,2
13/11/2014,2
05/03/2021,2
07/04/2014,2
17/03/2014,2
18/11/1997,2
06/01/1986,2
09/08/2023,2
25/08/2015,2
05/04/2024,2
18/01/2010,2
27/09/1993,2
04/04/2024,2
26/04/2001,2
02/07/1979,2
20/09/2019,2
20/03/1991,2
26/07/1996,2
01/03/2017,2
19/10/1977,2
08/06/1994,2
17/02/2014,2
29/05/1985,2
19/10/2021,2
02/03/2011,2
19/04/1996,2
01/08/1995,2
05/06/1998,2
11/05/1993,2
19/01/1994,2
08/10/2012,2
11/05/2012,2
28/01/1992,2
15/08/2011,2
05/05/2022,2
13/02/2015,2
06/01/1995,2
21/05/2002,2
19/06/2006,2
05/02/2018,2
20/03/1997,2
17/04/2023,2
11/08/2003,2
27/06/2002,2
30/03/1995,2
10/08/2011,2
18/08/1993,2
30/09/2020,2
23/02/2012,2
29/07/2009,2
25/10/1993,2
29/05/2023,2
08/01/1990,2
06/04/2023,2
09/04/1997,2
15/09/2022,2
01/08/1978,2
19/03/2008,2
14/01/2014,2
08/11/1993,2
15/01/1996,2
31/08/2018,2
28/11/2013,2
24/01/2017,2
13/09/2011,2
14/02/1995,2
31/08/2023,2
17/04/2014,2
05/02/2016,2
01/03/1994,2
06/06/2016,2
12/11/1991,2
29/04/2016,2
16/07/2021,2
09/08/2018,2
16/09/1991,2
26/07/1976,2
05/11/2015,2
14/12/2021,2
19/04/2002,2
27/04/2004,2
10/08/1992,2
21/07/1987,2
25/08/2023,2
06/09/2013,2
16/03/2020,2
26/06/2002,2
21/02/1994,2
06/12/2021,2
07/10/1996,2
14/04/2022,2
28/12/1989,2
15/10/1993,2
22/10/2009,2
11/08/2023,2
09/08/2010,2
01/03/1977,2
04/02/2011,2
24/09/1997,2
11/01/1990,2
16/06/1980,2
16/05/2019,2
20/07/1976,2
08/02/2022,2
17/06/1980,2
31/03/1987,2
15/10/2021,2
20/02/1995,2
26/08/1985,2
12/06/2015,2
09/09/2010,2
11/11/2013,2
31/12/2019,2
13/08/2013,2
30/08/2012,2
15/04/2024,2
30/04/2013,2
10/02/2023,2
05/07/1985,2
08/08/2019,2
24/04/1995,2
20/09/2023,2
07/08/1997,2
11/04/2017,2
04/09/2023,2
14/10/2004,2
17/01/1995,2
26/08/2010,2
23/01/2006,2
11/03/1996,2
18/05/2017,2
04/02/2016,2
28/05/2021,2
21/08/2018,2
13/03/1987,2
08/03/2024,2
28/09/2011,2
25/08/2011,2
31/08/2011,2
05/08/2011,2
16/09/1993,2
08/01/2015,2
01/06/1994,2
07/04/1997,2
01/11/2019,2
20/05/2010,2
22/04/2021,2
25/02/1993,2
18/09/1985,2
03/08/1993,2
26/10/1982,2
05/03/1987,2
11/01/1995,2
02/06/2010,2
22/03/2022,2
08/12/2015,2
10/06/2021,2
03/06/2022,2
16/04/2024,2
14/09/2016,2
27/05/2015,2
29/08/2019,2
15/07/1985,2
17/02/1992,2
29/01/1990,2
16/10/2013,2
24/08/2001,2
10/02/1994,2
01/09/1980,2
06/11/1979,2
13/04/1998,2
18/08/2023,2
19/09/1985,2
04/01/1994,2
22/02/1994,2
01/02/1995,2
25/04/2012,2
18/07/2006,2
08/07/2009,2
11/07/2016,2
01/06/2022,2
30/09/2009,2
15/02/2013,2
24/01/2014,2
18/08/1980,2
09/10/2017,2
22/04/2024,2
21/02/1989,2
05/02/2007,2
11/03/1997,2
16/10/2023,2
26/06/2018,2
08/05/2017,2
08/05/1984,2
01/10/2002,2
30/03/2016,2
08/05/2020,2
06/04/2022,2
16/08/1982,2
16/08/1983,2
26/12/1989,2
08/08/2002,1
22/02/2010,1
05/03/1982,1
22/03/1982,1
