REMUNERACAO_APOS_DEDUCOES_OBRIGATORIAS,count
"13090,64",108
"7899,29",69
"6332,35",58
"10065,81",56
"9680,78",52
"10882,68",52
"13564,30",50
"10466,25",48
"14795,85",39
"12635,19",38
"5292,70",37
"10726,49",29
"12197,25",26
"14847,99",26
"13142,77",25
"2448,31",24
"10323,06",22
"13867,60",22
"9935,13",22
"13616,44",21
"4040,97",18
"10842,77",15
"2996,85",15
"7850,86",15
"5674,07",14
"4720,97",14
"3436,82",14
"3098,51",13
"9562,13",12
"11370,56",11
"8291,50",11
"12687,33",11
"13668,57",11
"10117,95",11
"3299,79",11
"2460,77",11
"10934,82",11
"9670,72",10
"12249,39",10
"3864,69",10
"10007,59",10
"3516,27",10
"3958,33",9
"8115,87",9
"14900,12",9
"4594,13",9
"4077,83",9
"4198,99",9
"13194,91",8
"10986,96",8
"15550,44",8
"11659,65",8
"14409,86",8
"7350,29",8
"11711,78",8
"3848,98",8
"10518,39",8
"10516,88",8
"10566,88",8
"15572,81",8
"5855,29",8
"4332,53",8
"11243,21",8
"5346,05",8
"5014,71",8
"4074,84",8
"14921,86",7
"7999,91",7
"4733,23",7
"10114,30",7
"3846,21",7
"15173,89",7
"6576,29",7
"15644,95",7
"9028,51",7
"7595,80",7
"12974,21",6
"11295,35",6
"10117,70",6
"13861,54",6
"6297,37",6
"14858,85",6
"9346,80",6
"2578,75",6
"4058,87",6
"10166,44",6
"6444,97",6
"14341,26",6
"7836,28",6
"4865,57",6
"11237,15",6
"10778,63",6
"13919,73",6
"10570,53",6
"11214,36",6
"3194,70",6
"6830,62",6
"9649,99",6
"3369,97",6
"10967,95",6
"3961,22",6
"4654,74",6
"13269,43",6
"5365,03",6
"13903,67",5
"5096,03",5
"3628,16",5
"17119,85",5
"3403,63",5
"8252,73",5
"14963,13",5
"16305,04",5
"4877,76",5
"3740,94",5
"15077,68",5
"7322,96",5
"6069,89",5
"13750,25",5
"5221,71",5
"10170,09",5
"13678,86",5
"3525,78",5
"12739,46",5
"13163,37",5
"13247,05",5
"10457,83",4
"10111,86",4
"7369,41",4
"9781,41",4
"13873,32",4
"10706,03",4
"4702,68",4
"10983,31",4
"7647,93",4
"14335,20",4
"3328,72",4
"10894,91",4
"10836,71",4
"10935,36",4
"11530,04",4
"6439,22",4
"9184,20",4
"5172,32",4
"5084,84",4
"8606,18",4
"14910,99",4
"3934,96",4
"3948,18",4
"13971,87",4
"2719,14",4
"3513,50",4
"16328,10",4
"13940,33",4
"17270,77",4
"11503,45",4
"4209,69",4
"18176,29",4
"8366,69",4
"14250,29",4
"8896,60",4
"4652,18",4
"13412,15",4
"11910,58",4
"6201,00",4
"15677,09",4
"4322,27",4
"5514,48",4
"18779,96",4
"15047,87",4
"3406,36",4
"11404,48",4
"6772,65",4
"13464,29",4
"5251,86",4
"5331,77",4
"5689,48",4
"3625,28",4
"12147,52",4
"5183,94",4
"4515,13",4
"5153,70",4
"8099,04",4
"10114,50",4
"6192,70",4
"15602,58",4
"5423,49",4
"9583,89",3
"4572,29",3
"3096,08",3
"4638,96",3
"2871,90",3
"10830,76",3
"7056,98",3
"3866,55",3
"4247,92",3
"5726,98",3
"5315,32",3
"8125,03",3
"19081,80",3
"3231,36",3
"17473,82",3
"1801,09",3
"3519,76",3
"7563,06",3
"3014,11",3
"12807,10",3
"16802,02",3
"15110,89",3
"6649,19",3
"4287,72",3
"7983,90",3
"5589,03",3
"9924,84",3
"5600,20",3
"7951,42",3
"5146,88",3
"5752,10",3
"5238,16",3
"13850,70",3
"5294,09",3
"2929,50",3
"4443,82",3
"4082,70",3
"5592,20",3
"10059,72",3
"15100,01",3
"3746,47",3
"6580,57",3
"10427,34",3
"4518,63",3
"5643,91",3
"8251,99",3
"4866,98",3
"17102,80",3
"8659,13",3
"7093,99",3
"17497,15",3
"10375,20",3
"15752,07",3
"6886,60",3
"4496,39",3
"2539,86",3
"8319,00",3
"5286,99",3
"5849,21",3
"7152,44",3
"4554,17",3
"3326,29",3
"5542,40",3
"8373,73",3
"7094,86",3
"9983,62",3
"9249,22",3
"7512,04",3
