REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"19560,93",210
"14468,14",208
"13376,61",183
"13911,69",180
"10481,64",153
"20343,37",131
"12862,13",125
"22377,72",116
"18808,60",85
"6356,02",79
"20632,60",53
"18085,19",53
"4692,37",47
"15539,81",42
"14983,36",40
"14448,28",39
"3839,21",34
"10154,78",31
"11005,73",31
"15141,07",30
"4532,17",28
"3046,99",28
"10962,31",27
"2667,19",27
"9773,61",26
"7452,61",25
"13998,77",25
"21380,55",25
"4362,04",24
"23418,54",24
"14439,92",22
"5083,39",22
"9406,74",21
"14975,00",21
"10550,83",20
"15814,01",20
"22585,88",19
"14620,94",19
"8359,01",19
"5923,99",19
"23449,39",18
"19880,27",18
"2681,35",18
"3333,98",18
"4556,92",18
"3743,07",18
"22481,80",18
"21415,04",18
"4892,57",17
"7743,26",17
"22794,04",17
"24459,36",17
"3467,34",17
"9053,66",17
"4708,93",17
"4040,72",17
"8713,82",17
"15205,80",17
"4704,40",16
"13933,80",16
"0,00",16
"5720,55",15
"6887,02",15
"22898,13",15
"5943,65",14
"6926,51",14
"23002,21",13
"20470,74",13
"4887,87",13
"7378,95",13
"20558,23",13
"13460,36",13
"14558,74",13
"19871,91",12
"11389,83",12
"8178,12",12
"5299,16",12
"5645,27",11
"11244,96",11
"8685,01",11
"5281,64",11
"19683,41",11
"5909,73",11
"4527,82",11
"3599,11",11
"8045,24",11
"11939,09",11
"4803,00",10
"9023,74",10
"23441,03",10
"13113,29",10
"6427,49",10
"4036,83",10
"5278,90",10
"20624,24",10
"6146,70",10
"7647,07",10
"10438,97",10
"5487,61",10
"21406,68",10
"21289,57",10
"5687,92",9
"6628,49",9
"6175,45",9
"6155,03",9
"6427,22",9
"4198,31",9
"22689,96",9
"6395,09",9
"5891,06",9
"6391,76",9
"3464,02",9
"23522,62",9
"3889,05",9
"3355,42",9
"9375,66",9
"5354,22",9
"5865,45",8
"6331,85",8
"23106,29",8
"4632,87",8
"10969,15",8
"23938,95",8
"5591,13",8
"10025,60",8
"20251,07",8
"5472,52",8
"6094,20",8
"11456,67",8
"4580,57",8
