TOTAL.DE.VERBAS.INDENIZATÃ.RIAS..R.....,count
"1342,00",1271
"0,00",264
"1503,63",124
"1504,93",116
"1665,26",106
"1826,90",104
"1508,10",89
"1497,02",80
"1518,13",77
"1516,57",76
"1580,60",67
"1487,37",66
"1497,06",50
"1499,48",49
"1528,21",48
"1520,92",47
"1572,21",47
"1577,28",45
"1520,29",42
"1494,65",39
"1485,14",37
"1516,06",37
"1537,23",34
"1649,00",31
"1481,66",30
"1493,29",30
"1690,12",29
"1553,36",28
"1529,87",27
"1540,93",26
"1590,20",25
"1622,87",25
"1444,64",24
"1812,56",24
"671,00",23
"1636,96",23
"1558,78",22
"1523,71",22
"2121,86",22
"1500,69",20
"1663,04",19
"1608,78",19
"1667,86",19
"1555,45",19
"1532,85",18
"1794,06",18
"1528,50",18
"1650,16",17
"1659,95",16
"1627,34",16
"1799,89",16
"1813,09",16
"1606,37",16
"1482,90",16
"1552,12",15
"1739,86",14
"1632,74",14
"1673,54",14
"1761,43",13
"1535,82",13
"1594,01",13
"1694,26",12
"1649,71",12
"2311,80",12
"2416,82",12
"1631,80",12
"1746,03",12
"1766,26",11
"2276,88",11
"1652,04",11
"1759,02",11
"1764,72",11
"1506,39",11
"2268,97",11
"1511,60",11
"1715,00",10
"1593,38",10
"2460,40",10
"2135,18",10
"1958,32",10
"1610,27",10
"1682,67",9
"1370,00",9
"1591,78",9
"2301,28",9
"1747,18",9
"1945,12",8
"1768,99",8
"1870,74",8
"1655,74",8
"1645,13",8
"1674,20",8
"1387,96",8
"1652,95",8
"2284,79",7
"2309,75",7
"1718,09",7
"1698,42",7
"1656,96",7
"1611,75",7
"1931,92",7
"1722,64",7
"1952,84",7
"1908,15",7
"2143,65",7
"1861,47",7
"1666,79",7
"1833,32",7
"1714,42",7
"1698,58",7
"1646,77",7
"1508,99",7
"1766,45",7
"1875,56",7
"1732,68",7
"1382,20",7
"1650,28",6
"1729,64",6
"1961,11",6
"2135,06",6
"1553,02",6
"1485,95",6
"1647,30",6
"1654,54",6
"1837,08",6
"1826,29",6
"1634,31",6
"1763,84",6
"1954,86",6
"1705,42",6
"2430,02",6
"1697,05",6
"1698,03",6
"1829,08",6
"1621,32",6
"1790,73",6
"1561,06",6
"2245,98",6
"1888,32",6
"1862,90",6
"2893,81",6
"1353,67",6
"1615,16",6
"1681,06",6
"1989,83",5
"1659,38",5
"2360,12",5
"1993,00",5
"1706,50",5
"1717,74",5
"1699,84",5
"1737,15",5
"161,63",5
"1376,26",5
"1843,79",5
"2034,74",5
"1672,05",5
"1630,51",5
"1984,08",5
"1734,92",5
"1595,49",5
"1791,98",5
"1890,97",5
"1763,85",5
"1757,12",5
"1691,14",5
"1422,64",5
"1773,38",5
"1839,32",5
"1675,03",5
"1767,81",5
"1753,41",5
"1933,03",5
"1671,12",5
"1924,01",5
"1810,81",5
"2451,93",5
"1704,44",5
"1846,62",5
"1658,75",5
"1859,92",5
"2202,99",5
"642,08",5
"1702,63",5
"1782,19",5
"1615,39",5
"1530,35",4
"1802,42",4
"1838,40",4
"1637,24",4
"1719,85",4
"1413,66",4
"1699,90",4
"2173,91",4
"1628,26",4
"1638,22",4
"1628,27",4
"1435,31",4
"1755,64",4
"1642,17",4
"2113,95",4
"2244,01",4
"1614,54",4
"1651,63",4
"1647,20",4
"2002,10",4
"2251,35",4
"1775,56",4
"1831,87",4
"1470,02",4
"1552,73",4
"1968,52",4
"1626,56",4
"1988,80",4
"1425,23",4
"1786,81",4
"1657,68",4
"1474,88",4
"2262,06",4
"1824,85",4
"1917,14",4
"1689,01",4
"1696,18",4
"1901,42",4
"1791,62",4
"1871,07",4
"1786,54",4
"1712,92",4
"1730,44",4
"1356,83",4
"1612,75",4
"1819,20",4
"1658,34",4
"2297,99",4
"1581,20",4
"1376,22",4
"1784,98",4
"2230,93",3
"1772,23",3
"2217,94",3
"1705,10",3
"1732,46",3
"1960,15",3
"1593,26",3
"1978,19",3
"1768,90",3
"1785,26",3
"1408,91",3
"1589,54",3
"1820,41",3
"2500,44",3
"1762,24",3
"1929,70",3
"1593,40",3
"1747,35",3
"1965,73",3
"1722,05",3
"1765,57",3
"1408,60",3
"1844,76",3
"1726,67",3
"1627,78",3
"1668,71",3
"2109,01",3
"2369,14",3
"1938,48",3
"2296,22",3
"1875,84",3
"1741,23",3
"1739,38",3
"1826,44",3
"1896,11",3
"1613,95",3
"1349,86",3
"1893,26",3
"1967,03",3
"2696,78",3
"1363,54",3
"1580,91",3
"1828,80",3
"2378,16",3
"1877,11",3
"1803,07",3
"1628,28",3
"1903,74",3
"1632,55",3
"1734,91",3
"1792,65",3
"342,00",3
"1683,24",3
"2519,64",3
"2422,11",3
"1398,83",3
"1846,02",3
"2010,61",3
"2100,06",3
"1403,97",3
"1954,54",3
"1768,68",3
"1860,16",3
"1691,04",3
"1667,13",3
"976,95",3
"1650,11",3
"1922,07",3
"2506,79",3
"211,80",3
"2813,98",3
"1982,88",3
"1879,53",3
"1720,72",3
"1629,33",3
"2401,00",3
"1575,80",3
"2393,05",3
"1342,62",3
"1652,12",3
"1748,44",3
"2342,65",3
"2277,55",3
"1489,11",3
"2253,89",3
"2182,93",3
"2066,07",3
"1485,51",3
"1887,86",3
"1767,11",3
"1673,15",3
"2003,89",3
"1419,90",3
"1815,88",3
"1612,41",3
"1626,04",3
"1738,63",3
"1733,04",3
"1629,05",3
"1654,78",2
"2156,95",2
"1409,63",2
"1717,56",2
"1685,93",2
"2842,52",2
"1926,37",2
"2078,28",2
"1548,33",2
"1857,75",2
"2323,61",2
"2261,84",2
"1828,67",2
"1720,50",2
"1603,52",2
"1826,89",2
"2083,84",2
"1620,11",2
"1674,85",2
"1583,46",2
"1716,91",2
"1962,94",2
"1637,43",2
"1729,38",2
"1866,51",2
"1155,90",2
"906,28",2
"1573,61",2
"1693,02",2
"2356,45",2
"2329,66",2
"2466,76",2
"1659,53",2
"2236,67",2
"1953,65",2
"1557,14",2
"1887,51",2
"1970,85",2
"1678,59",2
"307,00",2
"1979,64",2
"2267,09",2
"1693,63",2
"2065,50",2
"1541,43",2
"1574,64",2
"2551,64",2
"1519,44",2
"1852,94",2
"2049,77",2
"2090,35",2
"1646,97",2
"1731,45",2
"1912,46",2
"2005,08",2
"2068,95",2
"2022,13",2
"3818,03",2
"1681,20",2
"3023,86",2
"1860,05",2
"2560,39",2
"1643,87",2
"1546,87",2
"2313,98",2
"2197,82",2
"1841,55",2
"2271,44",2
"3417,06",2
"1692,89",2
"1943,91",2
"1975,50",2
"1721,70",2
"2285,49",2
"1795,25",2
"2538,96",2
"1874,70",2
"1874,94",2
"1623,80",2
"1349,27",2
"2747,69",2
"1610,33",2
"1657,11",2
"1569,84",2
"1449,04",2
"2107,04",2
"2102,01",2
"1963,90",2
"2277,36",2
"2287,72",2
"2285,83",2
"1680,76",2
"3341,20",2
"1838,10",2
"1747,40",2
"1527,82",2
"1864,50",2
"1512,75",2
"1784,07",2
"1607,92",2
"1377,53",2
"1740,86",2
"1495,53",2
"1923,40",2
"2113,16",2
"1675,94",2
"1427,49",2
"1631,65",2
"1801,72",2
"1717,06",2
"1800,46",2
"1653,04",2
"1873,60",2
"1948,20",2
"1877,98",2
"1686,39",2
"1834,66",2
"2113,48",2
"1967,79",2
"1415,11",2
"2325,08",2
"1611,20",2
"1923,04",2
"2374,09",2
"1651,99",2
"1935,15",2
"1818,18",2
"2143,51",2
"1644,53",2
"1777,16",2
"1782,84",2
"1837,74",2
"1490,11",2
"1947,91",2
"1723,70",2
"2318,22",2
"1413,31",2
"1700,65",2
"1798,27",2
"1405,61",2
"1611,77",2
"1860,86",2
"1600,07",2
"1897,51",2
"1686,81",2
"1939,37",2
"1622,66",2
"1814,69",2
"1665,91",2
"2096,65",2
"1789,94",2
"2245,50",2
"2253,45",2
"1627,53",2
"1844,93",2
"1783,23",2
"887,78",2
"1629,90",2
"1457,84",2
"1596,26",2
"1981,92",2
"1672,00",2
"1936,35",2
"3402,74",2
"1607,75",2
"1903,75",2
"2768,68",2
"1875,22",2
"1810,63",2
"1816,38",2
"2296,42",2
"1642,80",2
"2309,50",2
"1664,80",2
"1800,14",2
"1808,97",2
"2215,81",2
"2086,30",2
"1652,13",2
"2093,14",2
"2224,15",2
"1607,76",2
"1673,43",2
"2128,70",2
"2369,11",2
"1777,45",2
"1952,57",2
"1747,58",2
"2423,54",2
"2465,23",2
"1643,82",2
"1776,94",2
"1898,83",2
"2715,98",2
"2117,68",2
"2858,12",2
"2146,76",2
"1980,33",2
"1708,80",2
"1768,55",2
"1837,45",2
"1612,29",2
"1790,76",2
"1698,37",2
"1576,15",2
"1921,60",2
"1878,44",2
"2140,34",2
"1556,46",2
"1853,14",2
"2002,81",2
"3649,20",2
"1726,43",2
"2896,64",2
"1651,08",2
"1723,44",2
"1868,03",2
"1762,98",2
"2243,92",2
"3061,23",2
"2400,91",2
"2751,99",2
"1715,03",2
"1783,44",2
"1681,81",2
"2137,64",2
"2054,06",2
"1817,71",2
"2290,76",2
"2738,79",2
"3151,76",2
"1670,81",2
"1838,15",2
"2264,45",2
"1361,56",2
"2057,81",2
"1738,33",2
"1653,50",2
"2284,12",2
"2128,84",2
"1724,49",2
"3044,43",2
"1876,46",2
"2373,22",2
"1833,13",2
"1722,03",2
"1680,96",2
"1633,62",2
"1402,62",2
"1622,05",2
"1736,40",2
"1665,52",2
"2183,12",2
"1634,36",2
"2262,81",2
"2722,53",2
"1836,49",2
"2067,41",2
"1754,89",2
"1750,59",2
"2509,09",2
"1716,25",2
"1414,36",2
"3184,66",2
"1655,72",2
"2331,56",1
"3343,68",1
"2490,78",1
"1946,16",1
"2229,93",1
"1565,44",1
"2510,04",1
"1833,70",1
"1604,70",1
"3385,72",1
"3396,05",1
"2406,69",1
"1823,87",1
"1834,74",1
"2605,91",1
"2311,19",1
"1644,58",1
"2106,44",1
"1956,10",1
"2313,10",1
"1703,61",1
"2152,76",1
"1430,40",1
"2289,52",1
"2549,47",1
"3624,31",1
"3033,75",1
"1874,51",1
"1917,24",1
"2149,70",1
"3149,56",1
"1924,02",1
"1877,36",1
"1887,62",1
"1681,17",1
"3659,83",1
"1616,50",1
"2901,72",1
"1645,14",1
"2147,46",1
"1718,72",1
"709,24",1
"1609,53",1
"2109,02",1
"1847,04",1
"4237,35",1
"1237,84",1
"5362,62",1
"2007,15",1
"3087,08",1
"1758,31",1
"2304,28",1
"2605,42",1
"5649,80",1
"2255,30",1
"1925,16",1
"1975,33",1
"1468,62",1
"1918,81",1
"1498,56",1
"1555,67",1
"110,32",1
"47,48",1
"1997,10",1
"1924,74",1
"1671,02",1
"1738,71",1
"1809,42",1
"1831,00",1
"1867,20",1
"1639,07",1
"1739,50",1
"2361,95",1
"2320,12",1
"2426,43",1
"1924,10",1
"3045,72",1
"1362,31",1
"1631,79",1
"1936,36",1
"1438,74",1
"2455,54",1
"1727,99",1
"4462,89",1
"2307,73",1
"2262,07",1
"484,29",1
"1652,17",1
"1406,31",1
"1567,17",1
"1659,40",1
"1466,64",1
"2213,39",1
"2860,60",1
"2282,55",1
"1831,36",1
"3654,15",1
"2690,37",1
"2307,45",1
"1395,64",1
"2012,40",1
"1396,40",1
"1841,60",1
"1911,48",1
"1715,81",1
"1347,49",1
"2690,80",1
"4321,64",1
"2093,56",1
"1572,51",1
"1857,35",1
"2467,78",1
"1868,85",1
"2224,44",1
"2891,66",1
"2159,53",1
"1946,95",1
"2202,60",1
"3750,20",1
"1402,66",1
"1892,61",1
"2951,15",1
"2037,64",1
"1718,37",1
"1839,28",1
"2486,37",1
"1558,09",1
"1830,52",1
"1640,73",1
"2001,47",1
"1598,98",1
"1987,02",1
"1840,80",1
"2113,50",1
"1670,27",1
"2151,69",1
"1647,95",1
"1727,61",1
"1851,88",1
"1636,34",1
"1638,81",1
"1552,98",1
"2228,82",1
"1656,80",1
"1638,76",1
"1463,80",1
"1900,78",1
"1675,76",1
"1881,17",1
"1870,69",1
"1604,46",1
"3312,91",1
"1895,25",1
