DESCRICAO_CARGO;REMUNERAÇÃO BÁSICA BRUTA (R$)
PROCURADOR FEDERAL;31778,95
PROFESSOR TITULAR-LIVRE MAG SUPERIOR;23823,45
PESQUISADOR EM SAUDE PUBLICA;20510,07
MEDICO VETERINARIO;19347,02
TECNOLOGISTA;18391,22
MEDICO-AREA;18249,95
PROFESSOR DO MAGISTERIO SUPERIOR;16690,43
PROFESSOR ENS BASICO TECN TECNOLOGICO;15510,98
OCEANOLOGO;15216,29
Sem informaÃ§;13803,88
ENGENHEIRO DE SEG DO TRABALHO;13449,59
FARMACEUTICO;12967,65
ECONOMISTA DOMESTICO;12851,38
FISICO;12841,47
InvÃ¡lido;12636,63
REGENTE;12611,40
FARMACEUTICO BIOQUIMICO;12510,13
BIOMEDICO;12413,91
ENFERMEIRO-AREA;12241,76
QUIMICO;12221,16
RESTAURADOR-AREA;11244,96
HISTORIADOR;11218,09
BIOLOGO;11186,09
SOCIOLOGO;11117,07
SECRETARIO EXECUTIVO;10952,66
FONOAUDIOLOGO;10846,39
PSICOLOGO-AREA;10744,55
ANALISTA DE TEC DA INFORMACAO;10589,93
TERAPEUTA OCUPACIONAL;10498,21
ECONOMISTA;10466,23
FARMACEUTICO-HABILITACAO;10375,96
ARQUIVISTA;10301,44
BIBLIOTECARIO-DOCUMENTALISTA;10248,92
FISIOTERAPEUTA;10213,02
NUTRICIONISTA-HABILITACAO;10106,09
ENGENHEIRO AGRONOMO;10016,51
REVISOR DE TEXTOS;10004,91
CONTADOR;9826,41
JORNALISTA;9813,35
TECNICO EM ASSUNTOS EDUCACIONAIS;9661,90
ODONTOLOGO - 40 HORAS;9634,86
COSTUREIRO;9621,92
PROGRAMADOR VISUAL;9454,01
ADMINISTRADOR;9444,89
PEDAGOGO-AREA;9355,02
ENGENHEIRO-AREA;9295,24
INSTRUMENTADOR CIRURGICO;9291,58
ASSISTENTE SOCIAL;9150,69
TECNOLOGO-FORMACAO;9096,75
MUSEOLOGO;9067,58
ARQUEOLOGO;9029,31
TECNICO EM REFRIGERACAO;8759,08
MATEMATICO;8713,82
TECNICO EM ELETRICIDADE;8593,94
ARQUITETO E URBANISTA;8516,00
TEC EM ANATOMIA E NECROPSIA;8482,55
MONTADOR CINEMATOGRAFICO;8385,18
DIRETOR DE FOTOGRAFIA;8349,97
VIGILANTE;8297,93
BOMBEIRO HIDRAULICO;8231,24
PEDREIRO;8095,16
TRADUTOR INTERPRETE;8044,63
RESIDENCIA MULTIPROFISSIONAL;8011,66
TECNICO EM OTICA;7946,88
ARMAZENISTA;7758,94
TEC EM SEGURANCA DO TRABALHO;7730,55
TECNICO EM ARQUIVO;7729,25
DIRETOR DE PRODUCAO;7707,80
DESENHISTA-PROJETISTA;7589,98
MECANICO;7332,31
CONTINUO;7198,05
TECNICO EM ENFERMAGEM;7165,16
AUDITOR;6919,15
ASSISTENTE DE LABORATORIO;6777,10
TECNICO EM MECANICA;6710,50
EDITOR DE IMAGENS;6641,05
TECNICO EM FARMACIA;6639,61
TECNICO EM ARTES GRAFICAS;6598,19
TEC EM NUTRICAO E DIETETICA;6551,43
TECNICO EM ELETROMECANICA;6471,46
AUXILIAR DE SAUDE;6417,94
RECEPCIONISTA;6391,64
TECNICO DE LABORATORIO AREA;6372,72
TELEFONISTA;6337,34
MOTORISTA;6334,61
ELETRICISTA;6292,30
COZINHEIRO;6138,20
PORTEIRO;6104,38
ASSIST DE TECNOLOGIA DA INFORMACAO;6043,50
AUXILIAR DE ENFERMAGEM;6042,16
AUXILIAR DE CRECHE;6025,23
TECNICO EM ELETROTECNICA;6022,77
TECNICO EM RADIOLOGIA;5898,25
TECNICO EM QUIMICA;5893,82
ENCADERNADOR;5893,01
TECNICO EM EDIFICACOES;5876,25
OPERADOR DE CAMERA DE CINEMA E TV;5832,84
TECNICO EM CONTABILIDADE;5810,26
ASSISTENTE EM ADMINISTRACAO;5765,51
TECNICO EM ELETRONICA;5708,55
PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO;5624,82
TECNICO EM AUDIOVISUAL;5534,39
TECNICO EM AGROPECUARIA;5527,44
CONTRAMESTRE-OFICIO;5454,22
TEC EM ELETROELETRONICA;5405,50
AUX EM ADMINISTRACAO;5167,80
PROF ENS BAS TEC TECNOLOGICO-SUBSTITUTO;5160,84
TECNICO EM SOM;5051,84
AUXILIAR DE NUTRICAO E DIETETICA;5037,82
OPERADOR DE MAQ AGRICOLAS;4920,89
AUXILIAR DE FARMACIA;4908,88
AUXILIAR DE COZINHA;4891,37
TRADUTOR INTERPRETE DE LINGUAGEM SINAIS;4787,37
TECNICO EM RESTAURACAO;4762,78
OPERADOR DE LUZ;4703,74
JARDINEIRO;4674,20
COPEIRO;4570,21
AUXILIAR DE LABORATORIO;4554,05
TEC DE TECNOLOGIA DA INFORMACAO;4462,87
AUXILIAR DE BIBLIOTECA;4369,23
TIPOGRAFO;4252,77
OPERADOR DE EST DE TRATAM AGUA-ESGOTO;4202,88
AUXILIAR DE AGROPECUARIA;4127,84
ADMINISTRADOR DE EDIFICIOS;4071,67
CAMAREIRO DE ESPETACULO;4040,72
TECNICO EM AGRIMENSURA;4039,79
OPERADOR DE MAQUINA COPIADORA;3982,43
SERVENTE DE LIMPEZA;3934,72
ASSISTENTE DE ALUNO;3916,48
CARPINTEIRO;3893,04
CENOTECNICO;3887,03
TECNICO EM PROTESE DENTARIA;3752,33
SERVENTE DE OBRAS;3717,01
AUXILIAR DE ELETRICISTA;3400,01
APONTADOR;3356,91
VESTIARISTA;3253,59
ANTROPOLOGO;3189,84
AUXILIAR ADMINISTRATIVO;2772,24
MEDICO RESIDENTE;2398,44
